turn is 461, now time is 32677.34739804268, scover line is 70343
turn is 462, now time is 32700.575877904892, scover line is 70343
turn is 463, now time is 32722.730092048645, scover line is 70343
turn is 464, now time is 32745.710203886032, scover line is 70343
turn is 465, now time is 32856.87372303009, scover line is 70343
turn is 466, now time is 32880.0330080986, scover line is 70343
turn is 467, now time is 33060.54816007614, scover line is 70343
turn is 468, now time is 33241.37533903122, scover line is 70343
turn is 469, now time is 33264.509445905685, scover line is 70343
turn is 470, now time is 33346.28141403198, scover line is 70343
turn is 471, now time is 33369.297312021255, scover line is 70343
turn is 472, now time is 33451.3738489151, scover line is 70343
turn is 473, now time is 33473.93134903908, scover line is 70452
turn is 474, now time is 33497.32865405083, scover line is 70452
turn is 475, now time is 33519.35905003548, scover line is 70452
turn is 476, now time is 33765.26334309578, scover line is 70452
turn is 477, now time is 33806.059962034225, scover line is 70452
turn is 478, now time is 33829.24429702759, scover line is 70452
turn is 479, now time is 33999.693840026855, scover line is 70479
turn is 480, now time is 34101.2869451046, scover line is 70479
turn is 481, now time is 34124.78033590317, scover line is 70520
turn is 482, now time is 34147.94026708603, scover line is 70520
turn is 483, now time is 34179.34133601189, scover line is 70520
turn is 484, now time is 34202.63994407654, scover line is 70520
turn is 485, now time is 34403.827328920364, scover line is 70520
turn is 486, now time is 34427.1593170166, scover line is 70520
turn is 487, now time is 34450.22233104706, scover line is 70520
turn is 488, now time is 34552.049432992935, scover line is 70520
turn is 489, now time is 34742.83694601059, scover line is 70520
turn is 490, now time is 34766.11145091057, scover line is 70520
turn is 491, now time is 34789.39548110962, scover line is 70520
turn is 492, now time is 34812.31583404541, scover line is 70520
turn is 493, now time is 34835.61068892479, scover line is 70520
turn is 494, now time is 34856.55783390999, scover line is 70520
turn is 495, now time is 34938.53428888321, scover line is 70520
turn is 496, now time is 35146.37494802475, scover line is 70520
turn is 497, now time is 35169.60294508934, scover line is 70978
turn is 498, now time is 35381.032114982605, scover line is 70980
turn is 499, now time is 35404.13408994675, scover line is 70980
turn is 500, now time is 35427.567877054214, scover line is 70980
turn is 501, now time is 35454.20660495758, scover line is 70980
turn is 502, now time is 35655.25962090492, scover line is 70980
turn is 503, now time is 35846.327166080475, scover line is 70980
turn is 504, now time is 36047.43604898453, scover line is 70980
turn is 505, now time is 36139.06643104553, scover line is 70980
turn is 506, now time is 36162.177043914795, scover line is 70980
turn is 507, now time is 36185.44366598129, scover line is 70980
turn is 508, now time is 36287.30597090721, scover line is 70980
turn is 509, now time is 36313.94519305229, scover line is 70980
turn is 510, now time is 36415.57715892792, scover line is 70980
turn is 511, now time is 36438.92136502266, scover line is 70980
turn is 512, now time is 36462.27130103111, scover line is 70980
turn is 513, now time is 36485.70075702667, scover line is 70980
turn is 514, now time is 36676.64858698845, scover line is 71013
turn is 515, now time is 36867.88137507439, scover line is 71014
turn is 516, now time is 36959.71253204346, scover line is 71014
turn is 517, now time is 36982.98702502251, scover line is 71014
turn is 518, now time is 37006.261158943176, scover line is 71014
turn is 519, now time is 37186.834513902664, scover line is 71014
turn is 520, now time is 37399.116080999374, scover line is 71014
turn is 521, now time is 37422.392952919006, scover line is 71014
turn is 522, now time is 37514.27667307854, scover line is 71014
turn is 523, now time is 37606.05329298973, scover line is 71014
turn is 524, now time is 37678.289866924286, scover line is 71014
turn is 525, now time is 37848.825212955475, scover line is 71017
turn is 526, now time is 37871.941715955734, scover line is 71017
turn is 527, now time is 37895.090769052505, scover line is 71017
turn is 528, now time is 38096.15044808388, scover line is 71017
turn is 529, now time is 38127.358859062195, scover line is 71017
turn is 530, now time is 38150.304857969284, scover line is 71019
turn is 531, now time is 38173.646271944046, scover line is 71019
turn is 532, now time is 38384.689088106155, scover line is 71019
turn is 533, now time is 38407.34238195419, scover line is 71019
turn is 534, now time is 38608.44143104553, scover line is 71019
turn is 535, now time is 38631.59390902519, scover line is 71019
turn is 536, now time is 38661.92847800255, scover line is 71019
